№,smiles,activity
1,NCCC(OCCN(CCCCCCCC)CCOC(CCN)=O)=O,0.1
2,NCCC(OCCN(CCCCCCCCCCCC)CCOC(CCN)=O)=O,0.2
3,CCCCCCCCCCCCN(CCOC(CCCN)=O)CCOC(CCCN)=O,0.001
4,NCCCC(OCCN(CCCCCCCC)CCOC(CCCN)=O)=O,0.001
5,NC(C(OCCN(CCOC(C(CC1=CC=CC=C1)CN)=O)CCCCCCCC)=O)CC2=CC=CC=C2,0.1
6,NC(CC1=CC=C(O)C=C1)C(OCCN(CCCCCCCC)CCOC(C(CN)CC2=CC=C(O)C=C2)=O)=O,0.1
7,NC(C(OCCN(CCOC(C(CC1=CNC2=C1C=CC=C2)CN)=O)CCCCCCCC)=O)CC3=CNC4=C3C=CC=C4,0.1
8,CCCCCCC(OCCN(C(CNC([C@H](CCCCN)N)=O)=O)CCOC(CCCCCC)=O)=O,0.00156
9,CCCCCCC(OCCN(C(CNC([C@@H](N)CCCN)=O)=O)CCOC(CCCCCC)=O)=O,0.00156
10,CCC(C)CCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)C(C)O,0.1
11,NCC(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CCCCN)C(N[C@@H](CCCNC(N)=N)C(N[C@@H]([C@H](CC)C)C(N[C@@H](CCCCN)C(N[C@@H]([C@@H](C)O)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O,0.013
